*runtime[h] lower[m] comp release[Bq/s]
0.50 2602 Aerosol_71.0mym 9.1624E+16
0.50 2602 Aerosol_80.8mym 6.4901E+16
0.50 2602 Aerosol_90.6mym 6.4901E+16
0.50 2602 Aerosol_100.4mym 6.4901E+16
0.50 2602 Aerosol_110.2mym 6.4901E+16
0.50 2602 Aerosol_120.0mym 6.4901E+16
0.50 2602 Aerosol_146.0mym 2.2906E+16
0.50 2602 Aerosol_172.0mym 2.2906E+16
0.50 2602 Aerosol_198.0mym 2.2906E+16
0.50 2602 Aerosol_224.0mym 2.2906E+16
0.50 2602 Aerosol_250.0mym 2.2906E+16
0.50 2602 Aerosol_400.0mym 3.8177E+15
0.50 2602 Aerosol_550.0mym 3.8177E+15
0.50 2602 Aerosol_700.0mym 3.8177E+15
0.50 2602 Aerosol_850.0mym 3.8177E+15
0.50 2602 Aerosol_1000.0mym 3.8177E+15
0.50 2928 Aerosol_2.3mym 7.0623E+15
0.50 2928 Aerosol_4.6mym 7.0623E+15
0.50 2928 Aerosol_6.9mym 7.0623E+15
0.50 2928 Aerosol_9.2mym 7.0623E+15
0.50 2928 Aerosol_11.5mym 7.0623E+15
0.50 2928 Aerosol_12.9mym 2.8249E+16
0.50 2928 Aerosol_14.3mym 2.8249E+16
0.50 2928 Aerosol_15.7mym 2.8249E+16
0.50 2928 Aerosol_17.1mym 2.8249E+16
0.50 2928 Aerosol_18.5mym 2.8249E+16
0.50 2928 Aerosol_20.6mym 6.0029E+16
0.50 2928 Aerosol_22.7mym 6.0029E+16
0.50 2928 Aerosol_24.8mym 6.0029E+16
0.50 2928 Aerosol_26.9mym 6.0029E+16
0.50 2928 Aerosol_29.0mym 6.0029E+16
0.50 2928 Aerosol_32.2mym 8.8278E+16
0.50 2928 Aerosol_35.4mym 8.8278E+16
0.50 2928 Aerosol_38.6mym 8.8278E+16
0.50 2928 Aerosol_41.8mym 8.8278E+16
0.50 2928 Aerosol_45.0mym 8.8278E+16
0.50 2928 Aerosol_50.2mym 8.4747E+16
0.50 2928 Aerosol_55.4mym 8.4747E+16
0.50 2928 Aerosol_60.6mym 8.4747E+16
0.50 2928 Aerosol_65.8mym 8.4747E+16
0.50 2928 Aerosol_71.0mym 8.4747E+16
0.50 2928 Aerosol_80.8mym 6.0029E+16
0.50 2928 Aerosol_90.6mym 6.0029E+16
0.50 2928 Aerosol_100.4mym 6.0029E+16
0.50 2928 Aerosol_110.2mym 6.0029E+16
0.50 2928 Aerosol_120.0mym 6.0029E+16
0.50 2928 Aerosol_146.0mym 2.1187E+16
0.50 2928 Aerosol_172.0mym 2.1187E+16
0.50 2928 Aerosol_198.0mym 2.1187E+16
0.50 2928 Aerosol_224.0mym 2.1187E+16
0.50 2928 Aerosol_250.0mym 2.1187E+16
0.50 2928 Aerosol_400.0mym 3.5311E+15
0.50 2928 Aerosol_550.0mym 3.5311E+15
0.50 2928 Aerosol_700.0mym 3.5311E+15
0.50 2928 Aerosol_850.0mym 3.5311E+15
0.50 2928 Aerosol_1000.0mym 3.5311E+15
0.50 3253 Aerosol_2.3mym 2.0611E+15
0.50 3253 Aerosol_4.6mym 2.0611E+15
0.50 3253 Aerosol_6.9mym 2.0611E+15
0.50 3253 Aerosol_9.2mym 2.0611E+15
0.50 3253 Aerosol_11.5mym 2.0611E+15
0.50 3253 Aerosol_12.9mym 8.2445E+15
0.50 3253 Aerosol_14.3mym 8.2445E+15
0.50 3253 Aerosol_15.7mym 8.2445E+15
0.50 3253 Aerosol_17.1mym 8.2445E+15
0.50 3253 Aerosol_18.5mym 8.2445E+15
