I-129	0.325	0.001	1.384E-15	15877807.69	[y]	aerosol
I-131	0.325	0.006	9.9409999E-7	8.068437193	[d]	aerosol
I-132	0.325	0.001	8.3569998E-5	2.303458234	[d]	aerosol
I-133	0.35	0.007	9.2110004E-6	20.89892429	[h]	aerosol		
I-134	0.325	0.001	0.0002222	51.98019802	[m]	aerosol	
I-135	0.325	0.001	2.8750001E-5	6.695651941	[h]	aerosol	
Xe-133	0	0	1.522E-6	5.269929917	[d]	noblegas
Xe-135	0	0	2.0949999E-5	9.188544591	[h]	noblegas
Xe-138	0	0	8.1529998E-4	14.1665648	[m]	noblegas	
Cs-134	0.29	0.0012	1.073E-8	2.047985633	[y]	aerosol
Cs-136	0.25	0.001	6.171E-7	12.99762329	[d]	aerosol	
Cs-137	0.3	0.001	7.2930001E-10	30.13147613	[y]	aerosol
Cs-138	0.25	0.001	0.0003588	32.19063545	[m]	aerosol	
Ba-140	0.225	0.009	6.2679999E-7	12.79647968	[d]	aerosol
La-140	0.25	0.001	4.558E-6	1.759726488	[d]	aerosol
Ce-141	0.25	0.001	2.431E-7	32.99396682	[d]	aerosol
Ce-143	0.25	0.001	5.8350001E-6	1.374607232	[d]	aerosol
Ce-144	0.25	0.001	2.815E-8	284.9319124	[d]	aerosol
Pr-143	0.25	0.001	5.9080003E-7	13.57622364	[d]	aerosol
Nd-147	0.25	0.001	7.3000001E-7	10.98744277	[d]	aerosol
Np-239	0.25	0.001	3.4138E-6	2.349532291	[d]	aerosol	
Pu-238	2.15	0.02	2.5540001E-10	86.04105319	[y]	aerosol	
Pu-239	2.15	0.02	9.0018E-13	24411.6575	[y]	aerosol
Pu-240	0.25	0.001	3.3381E-12	6583.051989	[y]	aerosol
Pu-241	0.25	0.001	1.664E-9	13.2060612	[y]	aerosol	
Am-241	0.25	0.001	4.7956999E-11	458.2206206	[y]	aerosol	
Cm-242	0.25	0.001	4.9217999E-8	162.9654496	[d]	aerosol
Cm-244	0.25	0.001	1.248E-9	17.60808161	[y]	aerosol
ENDISO*		0.25	0.001
I-129E	0	0.015	1.384E-15	15877807.69	[y]	gas
I-131E	0	0.015	9.9409999E-7	8.068437193	[y]	gas
I-132E	0	0.015	8.3569998E-5	2.303458234	[h]	gas
I-133E	0	0.015	9.2110004E-6	20.89892429	[h]	gas
I-134E	0	0.015	0.0002222	51.98019802	[m]	gas
I-135E	0	0.015	2.8750001E-5	6.695651941	[h]	gas
I-129O	0	0.00015	1.384E-15	15877807.69	[y]	aerosol
I-131O	0	0.00015	9.9409999E-7	8.068437193	[y]	aerosol
I-132O	0	0.00015	8.3569998E-5	2.303458234	[h]	aerosol
I-133O	0	0.00015	9.2110004E-6	20.89892429	[h]	aerosol
I-134O	0	0.00015	0.0002222	51.98019802	[m]	aerosol
I-135O	0	0.00015	2.8750001E-5	6.695651941	[h]	aerosol
I-129A	0.325	0.0015	1.384E-15	15877807.69	[y]	aerosol
I-131A	0.325	0.0015	9.9409999E-7	8.068437193	[y]	aerosol
I-132A	0.325	0.0015	8.3569998E-5	2.303458234	[h]	aerosol
I-133A	0.35	0.0015	9.2110004E-6	20.89892429	[h]	aerosol
I-134A	0.325	0.0015	0.0002222	51.98019802	[m]	aerosol
I-135A	0.325	0.0015	2.8750001E-5	6.695651941	[h]	aerosol


