# Mastin&al:2009a
# Preliminary spreadsheet of eruption source parameters for volcanoes of the world.
# Open-File Report, U.S. Geological Survey, 2009. Number 2009-1133.
# L.G. Mastin, M. Guffanti, J.E. Ewert and J. Spiegel.
# http://pubs.usgs.gov/of/2009/1133
#NUMBER,RN,SN,VN,NAME,LOCATION,STATUS,LATITUDE,NS,VF,LONGITUDE,EW,ELEV,TYPE,TIMEFRAME,ERUPTION TYPE
0202-055,02,02,-055,Ol_Kokwe,Africa-E,Holocene, 0.62,N,, 36.075,E,1130,Shield volcano,U,M0
0202-056,02,02,-056,Nyambeni_Hills,Africa-E,Holocene, 0.23,N,, 37.87,E,750,Shield volcano,U,M0
0202-06=,02,02,-06-,Menengai,Africa-E,Tephrochronology, 0.20,S,, 36.07,E,2278,Shield volcano,D7,S0
0202-071,02,02,-071,Elmenteita_Badlands,Africa-E,Holocene, 0.52,S,*, 36.27,E,2126,Pyroclastic cones,U,M0
0202-07=,02,02,-07-,Homa_Mountain,Africa-E,Holocene, 0.38,S,, 34.50,E,1751,Complex volcano,U,M0
0202-08=,02,02,-08-,Ol_Doinyo_Eburru,Africa-E,Holocene, 0.65,S,, 36.22,E,2856,Complex volcano,U,S0
0202-09=,02,02,-09-,Olkaria,Africa-E,Radiocarbon, 0.904,S,*, 36.292,E,2434,Pumice cones,D4,S0
0202-10=,02,02,-10-,Longonot,Africa-E,Anthropology, 0.914,S,, 36.446,E,2776,Stratovolcano,D3,S0
0202-11=,02,02,-11-,Suswa,Africa-E,Holocene, 1.175,S,, 36.35,E,2356,Shield volcano,U,S0
0202-12=,02,02,-12-,Ol_Doinyo_Lengai,Africa-E,Historical, 2.764,S,, 35.914,E,2962,Stratovolcano,D1,S2
0202-13=,02,02,-13-,Chyulu_Hills,Africa-E,Anthropology, 2.68,S,*, 37.88,E,2188,Volcanic field,D3,M0
0202-15=,02,02,-15-,Kilimanjaro,Africa-E,Holocene, 3.07,S,, 37.35,E,5895,Stratovolcano,U,S0
0202-161,02,02,-161,Igwisi_Hills,Africa-E,Holocene, 4.87,S,*, 31.92,E,,Tuff cones,U,S0
0202-162,02,02,-162,Unnamed,Africa-E,Holocene, 8.63,S,, 33.57,E,,Pyroclastic cone,U,M0
0202-163,02,02,-163,SW_Usangu_Basin,Africa-E,Holocene, 8.75,S,*, 33.80,E,2179,Lava domes,U,S0
0202-164,02,02,-164,Ngozi,Africa-E,Holocene, 8.97,S,, 33.57,E,2622,Caldera,U,S0
0202-165,02,02,-165,Izumbwe_Mpoli,Africa-E,Holocene, 8.93,S,, 33.40,E,1568,Pyroclastic cones,U,S0
0202-166,02,02,-166,Rungwe,Africa-E,Holocene, 9.13,S,, 33.67,E,2961,Stratovolcano,U,S0
0202-16=,02,02,-16-,Meru,Africa-E,Historical, 3.25,S,, 36.75,E,4565,Stratovolcano,D2,S0
0202-17=,02,02,-17-,Kieyo,Africa-E,Historical, 9.23,S,, 33.78,E,2175,Stratovolcano,D3,S0
0203-001,02,03,-001,Fort_Portal,Africa-C,Radiocarbon, 0.70,N,*, 30.25,E,1615,Tuff cones,D7,M0
0203-002,02,03,-002,Kyatwa,Africa-C,Holocene?, 0.45,N,*, 30.25,E,1430,Tuff cones,?,S0
0203-003,02,03,-003,Katwe_Kikorongo,Africa-C,Holocene, 0.08,S,*, 29.92,E,1067,Tuff cones,U,S0
0203-004,02,03,-004,Bunyaruguru,Africa-C,Holocene, 0.20,S,*, 30.08,E,1554,Maars,U,S0
0203-005,02,03,-005,Katunga,Africa-C,Holocene, 0.471,S,, 30.191,E,1707,Tuff cone,U,S0
0203-01=,02,03,-01-,May_ya_moto,Africa-C,Fumarolic, 0.93,S,, 29.33,E,950,Fumarole field,?,S0
0203-02=,02,03,-02-,Nyamuragira,Africa-C,Historical, 1.408,S,, 29.20,E,3058,Shield volcano,D1,M1
0203-03=,02,03,-03-,Nyiragongo,Africa-C,Historical, 1.52,S,, 29.25,E,3470,Stratovolcano,D1,M1
0203-04-,02,03,-04-,Karisimbi,Africa-C,Potassium-Argon, 1.50,S,, 29.45,E,4507,Stratovolcano,D7,M0
0203-05-,02,03,-05-,Visoke,Africa-C,Historical, 1.47,S,, 29.492,E,3711,Stratovolcano,D2,S0
0203-06-,02,03,-06-,Muhavura,Africa-C,Holocene, 1.38,S,, 29.67,E,4127,Stratovolcano,U,M0
0203-07-,02,03,-07-,Bufumbira,Africa-C,Holocene?, 1.23,S,*, 29.72,E,2440,Cinder cones,?,M0
0203-08-,02,03,-08-,Tshibinda,Africa-C,Holocene, 2.32,S,*, 28.75,E,1460,Cinder cones,U,M0
0204-001,02,04,-001,Sao_Tome,Africa-W,Holocene?, 0.20,N,,  6.58,E,2024,Shield volcano,?,M0
0204-002,02,04,-002,San_Carlos,Africa-W,Holocene, 3.35,N,,  8.52,E,2260,Shield volcano,U,M0
